Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time,Sector
PDFS,Pdf Solutions Inc,10.52,-0.07,-0.66%,11.21,10.02,320600,03/13/20,Technology
PEI,Pennsylvania Real Estate Investment,1.56,0.43,+38.05%,1.58,1.21,3797600,03/13/20,Real Estate
PETS,Petmed Express Inc,24.16,-1.47,-5.74%,26.52,23.36,731200,03/13/20,Healthcare
PFBC,Preferred Bank LA,35.11,0.21,+0.60%,37.67,33.47,143700,03/13/20,Financial Services
PFS,Provident Financial Services,14.78,1.28,+9.48%,14.78,13.35,902500,03/13/20,Financial Services
PGNX,Progenics Pharmaceuticals,3.15,0.21,+7.14%,3.25,2.5,2200200,03/13/20,Healthcare
PGTI,Pgt Inc,10.77,0.62,+6.11%,10.85,9.82,453100,03/13/20,Industrials
PIPR,Piper Jaffray Companies,49.47,4.63,+10.33%,49.47,45.12,145000,03/13/20,Financial Services
PKE,Park Electrochemical Corp,12.62,0.85,+7.22%,12.7,11.83,280200,03/13/20,Industrials
PLAB,Photronics Inc,10.27,0.21,+2.09%,11.15,9.93,1042600,03/13/20,Technology
PLAY,Dave & Buster's Ente,13.27,-1.73,-11.53%,16.36,10.93,2960500,03/13/20,Consumer Cyclical
PLCE,Children's Place Inc,37.51,3.64,+10.75%,41.31,34.52,2311800,03/13/20,Consumer Cyclical
PLT,Plantronics,7.62,-1.39,-15.43%,9.61,6.61,2152700,03/13/20,Technology
PLUS,Eplus Inc,60.48,4.55,+8.14%,60.85,53.89,103400,03/13/20,Technology
PLXS,Plexus Cp,53.82,1.27,+2.42%,56.61,50.67,276400,03/13/20,Technology
PMT,Pennymac Mortgage Investment Trust,15.0,-0.21,-1.38%,16.46,14.0,2422900,03/13/20,Real Estate
PNTG,The Pennant Group Inc,15.4,0.23,+1.52%,17.01,15.08,399400,03/13/20,Healthcare
POWI,Power Integratn,90.17,6.75,+8.09%,90.17,81.47,422900,03/13/20,Technology
POWL,Powell Inds Inc,24.15,-0.39,-1.59%,25.72,23.17,74300,03/13/20,Industrials
